state,column,ballotPosition,surname,ballotGivenName,groupName,partyBallotName
ACT,A,1,HOLGATE,James,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
ACT,A,2,HAYDON,John,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
ACT,B,1,POCOCK,David,David Pocock,David Pocock
ACT,B,2,VARDY,Hannah,David Pocock,David Pocock
ACT,C,1,SOXSMITH,Robyn,Animal Justice Party,Animal Justice Party
ACT,C,2,KUDRYCZ,Walter,Animal Justice Party,Animal Justice Party
ACT,D,1,GALLAGHER,Katy,Australian Labor Party,Australian Labor Party
ACT,D,2,OH,Janaline,Australian Labor Party,Australian Labor Party
ACT,E,1,VADAKKEDATHU,Jacob,Liberal,Liberal
ACT,E,2,LEE,Hayune,Liberal,Liberal
ACT,F,1,SEARSON-PRAKAASH,Elise,HEART/LIBERTARIAN,HEART Party
ACT,F,2,BROWN,Martin,HEART/LIBERTARIAN,Libertarian
ACT,G,1,HOBBS,Christina,Australian Greens,Australian Greens
ACT,G,2,ROCKE,Jo,Australian Greens,Australian Greens
NSW,A,1,SHELDON,Tony,Labor,Labor
NSW,A,2,AYRES,Tim,Labor,Labor
NSW,A,3,BELJIC,Emilija,Labor,Labor
NSW,A,4,MCGREGOR,Victoria,Labor,Labor
NSW,A,5,SEWELL,Sharon,Labor,Labor
NSW,A,6,ROARTY,Heather,Labor,Labor
NSW,B,1,BODDY,Max,,
NSW,B,2,DOVE,Warwick,,
NSW,C,1,DARWICHE,Emanie Samira,Australia's Voice,Australia's Voice
NSW,C,2,GEORGE,Graham,Australia's Voice,Australia's Voice
NSW,D,1,WHITICKER,Miles,FUSION | Planet Rescue | Whistleblower Protection | Innovation,FUSION | Planet Rescue | Whistleblower Protection | Innovation
NSW,D,2,POTTS,Andrew,FUSION | Planet Rescue | Whistleblower Protection | Innovation,FUSION | Planet Rescue | Whistleblower Protection | Innovation
NSW,E,1,SHELTON,Lyle,Family First,Family First
NSW,E,2,MASTERS,Roseanne,Family First,Family First
NSW,F,1,STACEY,Warwick,Pauline Hanson's One Nation,Pauline Hanson's One Nation
NSW,F,2,THOMPSON,Rebecca,Pauline Hanson's One Nation,Pauline Hanson's One Nation
NSW,G,1,KERIN,Emma,Animal Justice Party,Animal Justice Party
NSW,G,2,STELLINO,Matt,Animal Justice Party,Animal Justice Party
NSW,H,1,WOLFSON,Asher,Australian Christians,Australian Christians
NSW,H,2,FISCHER,Duncan Gregg,Australian Christians,Australian Christians
NSW,I,1,KELLY,Craig,Libertarian / HEART / Gerard Rennick People First,Libertarian
NSW,I,2,O'NEILL,Michael,Libertarian / HEART / Gerard Rennick People First,HEART Party
NSW,I,3,SEDMAN,Tracy,Libertarian / HEART / Gerard Rennick People First,Gerard Rennick People First
NSW,I,4,CHRISTOU,Steve,Libertarian / HEART / Gerard Rennick People First,Libertarian
NSW,I,5,QUTAMI,Sonia,Libertarian / HEART / Gerard Rennick People First,HEART Party
NSW,J,1,HUNT,Miles,Legalise Cannabis Party,Legalise Cannabis Party
NSW,J,2,BALDERSTONE,Michael,Legalise Cannabis Party,Legalise Cannabis Party
NSW,J,3,ELLISTON,Tia,Legalise Cannabis Party,Legalise Cannabis Party
NSW,K,1,BOURKE,William,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
NSW,K,2,CAMPBELL,Petra,Sustainable Australia Party - Universal Basic Income,Sustainable Australia Party - Universal Basic Income
NSW,L,1,WHYMAN,Owen D,Indigenous - Aboriginal Party of Australia,Indigenous - Aboriginal Party of Australia
NSW,L,2,BROOKE,Lawrence John,Indigenous - Aboriginal Party of Australia,Indigenous - Aboriginal Party of Australia
NSW,M,1,NILE,Silvana,Trumpet of Patriots,Trumpet of Patriots
NSW,M,2,ROBERTSON,Andrew,Trumpet of Patriots,Trumpet of Patriots
